Year	Value
1880	-1.5600
1881	-0.0800
1882	-0.3000
1883	-1.4400
1884	-2.2900
1885	-1.9500
1886	-0.6300
1887	0.6300
1888	-0.7200
1889	2.9900
1890	-0.5000
1891	-1.3600
1892	1.0300
1893	-0.1600
1894	-0.0100
1895	-1.4600
1896	-1.2300
1897	-0.8300
1898	-0.9100
1899	1.5300
1900	1.0800
1901	0.2400
1902	-1.0800
1903	-1.1000
1904	-0.8300
1905	-0.3100
1906	-0.2200
1907	-1.0200
1908	-1.0500
1909	-0.6500
1910	-0.6500
1911	-1.0600
1912	-0.6500
1913	-2.3200
1914	1.1200
1915	-0.2100
1916	-0.5700
1917	0.4100
1918	-0.1300
1919	0.4800
1920	0.6700
1921	0.2100
1922	0.6500
1923	-0.6000
1924	-1.0000
1925	-1.2200
1926	-1.1000
1927	-0.0300
1928	0.6100
1929	0.5400
1930	0.6600
1931	-1.5700
1932	0.1500
1933	0.8300
1934	-0.3500
1935	0.2300
1936	-0.6600
1937	0.1700
1938	0.5600
1939	0.3100
1940	0.0900
1941	-0.6000
1942	-0.5100
1943	-0.8600
1944	-0.0900
1945	-1.1900
1946	0.7700
1947	-0.7200
1948	-0.3300
1949	-0.5300
1950	0.0800
1951	0.7300
1952	-0.3100
1953	0.2600
1954	-1.9000
1955	-0.7200
1956	-0.9500
1957	-1.1200
1958	1.2800
1959	1.2900
1960	0.2800
1961	2.3300
1962	0.3200
1963	-0.2500
1964	-0.1300
1965	-0.8000
1966	0.1000
1967	1.2300
1968	-0.0600
1969	-1.1900
1970	-1.5100
1971	0.2800
1972	-0.1500
1973	1.3200
1974	-0.7200
1975	0.4900
1976	-1.4300
1977	-1.5100
1978	1.6100
1979	-0.7400
1980	-1.4100
1981	-0.0900
1982	-0.3300
1983	-0.8800
1984	-0.0600
1985	0.5700
1986	-0.8300
1987	-0.7700
1988	-0.2100
1989	-0.1300
1990	-0.5400
1991	-0.1000
1992	-0.2100
1993	-1.8000
1994	1.4700
1995	-0.0800
1996	-1.2800
1997	2.2000
1998	0.4900
1999	-0.3700
2000	0.7300
2001	0.4000
2002	0.1500
2003	-1.2500
2004	0.0300
2005	1.4700
2006	-0.3900
2007	0.4000
2008	0.5900
2009	0.4100
2010	0.3400
2011	-0.2200
2012	1.0300
2013	0.2300
2014	-0.0600
2015	-0.4000
2016	0.4800
2017	2.6300
2018	0.1800
